03-11-2015@15:41:44 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
03-11-2015@15:41:44 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-28-2015
03-11-2015@15:41:52 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-28-2015
03-11-2015@15:41:57 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/Outbound02/ces4001_444867371_B4C2F632X621EX43A2X8F46XA0B9E401FC1D.txt
03-11-2015@15:42:00 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
03-11-2015@15:42:04 INFO  (WalmartDownload.java:66)     - [-]Termina ejecución del portal Walmart Cesarfer
03-11-2015@16:03:23 INFO  (WalmartDownload.java:47)     - Se ejecuta Walmart download
03-11-2015@16:03:23 INFO  (WalmartDownload.java:66)     - [-]Termina ejecución del portal Walmart Cesarfer
03-11-2015@16:03:25 INFO  (WalmartInsert.java:45)     - INSERT; Se ejecuta Walmart insert
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Mon Nov 02 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Sun Nov 01 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Sat Oct 31 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Fri Oct 30 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Thu Oct 29 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Wed Oct 28 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Tue Oct 27 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (Utileria.java:227)     - old date: Mon Oct 26 16:03:27 CST 2015
03-11-2015@16:03:27 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:03:27 INFO  (Utileria.java:267)     - RENAME: El archivo 11-02-2015 existe
03-11-2015@16:03:27 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 11-02-2015 correctamente cambiado
03-11-2015@16:03:29 INFO  (WalmartInsert.java:103)     - READ: El archivo 11-02-2015 existe
03-11-2015@16:03:29 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_11-02-2015.csv
03-11-2015@16:03:46 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
